16S_NC_063121.1:13973-15668	vague species identification (16S_NC_063121.1:13973-15668 Psedoliparis sp. RL-2022 mitochondrion, complete genome)
16S_NC_056997.1:1092-2798	vague species identification (16S_NC_056997.1:1092-2798 Cromileptes altivelis x Epinephelus tukula mitochondrion, complete genome)
16S_NC_053367.1:1093-2798	vague species identification (16S_NC_053367.1:1093-2798 Epinephelus fuscoguttatus x Epinephelus polyphekadion mitochondrion, complete genome)
16S_NC_053366.1:1097-2805	vague species identification (16S_NC_053366.1:1097-2805 Hyporthodus septemfasciatus x Epinephelus lanceolatus mitochondrion, complete genome)
16S_NC_052838.1:1094-2802	vague species identification (16S_NC_052838.1:1094-2802 Epinephelus akaara x Epinephelus tukula mitochondrion, complete genome)
16S_NC_052837.1:1094-2800	vague species identification (16S_NC_052837.1:1094-2800 Epinephelus awoara x Epinephelus tukula mitochondrion, complete genome)
16S_NC_042416.1:1094-2798	vague species identification (16S_NC_042416.1:1094-2798 Epinephelus fuscoguttatus x Epinephelus tukula mitochondrion, complete genome)
16S_NC_043900.1:1089-2756	vague species identification (16S_NC_043900.1:1089-2756 Takifugu obscurus x Takifugu rubripes mitochondrion, complete genome)
16S_NC_040957.1:1099-2794	vague species identification (16S_NC_040957.1:1099-2794 Acanthopagrus schlegelii x Pagrus major mitochondrion, complete genome)
16S_NC_040225.1:1093-2798	vague species identification (16S_NC_040225.1:1093-2798 Epinephelus moara x Epinephelus tukula mitochondrion, complete genome)
16S_NC_034675.1:1093-2798	vague species identification (16S_NC_034675.1:1093-2798 Cromileptes altivelis x Epinephelus lanceolatus mitochondrion, complete genome)
16S_NC_034668.1:1094-2802	vague species identification (16S_NC_034668.1:1094-2802 Epinephelus akaara x Epinephelus lanceolatus mitochondrion, complete genome)
16S_NC_034005.1:1090-2755	vague species identification (16S_NC_034005.1:1090-2755 Takifugu rubripes x Takifugu flavidus voucher BDH-JDZJ01 mitochondrion, complete genome)
16S_NC_032400.1:1089-2756	vague species identification (16S_NC_032400.1:1089-2756 Takifugu fasciatus x Takifugu flavidus mitochondrion, complete genome)
16S_NC_030318.1:1093-2798	vague species identification (16S_NC_030318.1:1093-2798 Epinephelus moara x Hyporthodus septemfasciatus mitochondrion, complete genome)
16S_NC_030276.1:1093-2799	vague species identification (16S_NC_030276.1:1093-2799 Epinephelus moara x lanceolatus mitochondrion, complete genome)
16S_NC_028343.1:1097-2767	vague species identification (16S_NC_028343.1:1097-2767 Glyphis sp. Bangladesh mitochondrion, complete genome)
16S_NC_028339.1:1097-2767	vague species identification (16S_NC_028339.1:1097-2767 Glyphis sp. Borneo mitochondrion, complete genome)
16S_NC_028337.1:1096-2765	vague species identification (16S_NC_028337.1:1096-2765 Glyphis sp. Pakistan mitochondrion, complete genome)
16S_NC_028197.1:1089-2787	vague species identification (16S_NC_028197.1:1089-2787 Serranidae sp. JL-2015 mitochondrion, complete genome)
16S_NC_028055.1:1095-2799	vague species identification (16S_NC_028055.1:1095-2799 Epinephelus fuscoguttatus x Epinephelus lanceolatus mitochondrion, complete genome)
OQ857311.1	vague species identification (OQ857311.1 Hemachatus sp. TMajor-2023a isolate UM1307 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR036045.1	vague species identification (OR036045.1 Lycengraulis sp. voucher CIUA_7241A small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR036008.1	vague species identification (OR036008.1 Lycengraulis sp. voucher CIUA_7255B small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035815.1	vague species identification (OR035815.1 Lycengraulis sp. voucher CIUA_6952C small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035814.1	vague species identification (OR035814.1 Lycengraulis sp. voucher CIUA_6952D small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035813.1	vague species identification (OR035813.1 Lycengraulis sp. voucher CIUA_6952E small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035789.1	vague species identification (OR035789.1 Lycengraulis sp. voucher CIUA_7247A small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035787.1	vague species identification (OR035787.1 Lycengraulis sp. voucher CIUA_7254A small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035786.1	vague species identification (OR035786.1 Lycengraulis sp. voucher CIUA_7254B small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035785.1	vague species identification (OR035785.1 Lycengraulis sp. voucher CIUA_7255A small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OR035784.1	vague species identification (OR035784.1 Lycengraulis sp. voucher CIUA_7255C small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ946504.1	vague species identification (OQ946504.1 Euprotomicrus sp. FISHCARD_elas_54.1 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
LC385231.2	vague species identification (LC385231.2 Brotula sp. KAUM:I:88883 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence)
LC069506.2	vague species identification (LC069506.2 Brotula sp. CBM:ZF:15570 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence)
LC578979.2	vague species identification (LC578979.2 Brotula sp. CBM:ZF:20276 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence)
LC767262.1	vague species identification (LC767262.1 Luciogobius sp. KAMAHIRE-MIMIZU-HAZE CBM:ZF:19916 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence)
LC767261.1	vague species identification (LC767261.1 Luciogobius sp. KAMAHIRE-MIMIZU-HAZE CBM:ZF:19892 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence)
LC765844.1	vague species identification (LC765844.1 Inu sp. 1 sensu Shibukawa et al., 2020 mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence)
OQ846148.1	vague species identification (OQ846148.1 Eustomias sp. voucher #10-172 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789503.1	vague species identification (OQ789503.1 Gobiidae sp. isolate Gob_108 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789502.1	vague species identification (OQ789502.1 Carangidae sp. isolate Car_100 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789501.1	vague species identification (OQ789501.1 Eleotridae sp. isolate Ele_102 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789499.1	vague species identification (OQ789499.1 Mugilidae sp. isolate Mug_118 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789498.1	vague species identification (OQ789498.1 Mugilidae sp. isolate Mug_117 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789497.1	vague species identification (OQ789497.1 Terapontidae sp. isolate Ter_100 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789496.1	vague species identification (OQ789496.1 Mugilidae sp. isolate Mug_116 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789493.1	vague species identification (OQ789493.1 Gobiidae sp. isolate Gob_107 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789490.1	vague species identification (OQ789490.1 Mugilidae sp. isolate Mug_115 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789488.1	vague species identification (OQ789488.1 Mugilidae sp. isolate Mug_114 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789484.1	vague species identification (OQ789484.1 Macrouridae sp. isolate Mac_105 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789483.1	vague species identification (OQ789483.1 Mugilidae sp. isolate Mug_113 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789482.1	vague species identification (OQ789482.1 Macrouridae sp. isolate Mac_104 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789481.1	vague species identification (OQ789481.1 Mugilidae sp. isolate Mug_112 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789480.1	vague species identification (OQ789480.1 Gobiidae sp. isolate Gob_106 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789479.1	vague species identification (OQ789479.1 Mugilidae sp. isolate Mug_111 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789478.1	vague species identification (OQ789478.1 Mugilidae sp. isolate Mug_110 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789477.1	vague species identification (OQ789477.1 Mugilidae sp. isolate Mug_109 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789473.1	vague species identification (OQ789473.1 Macrouridae sp. isolate Mac_103 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789472.1	vague species identification (OQ789472.1 Mugilidae sp. isolate Mug_108 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789471.1	vague species identification (OQ789471.1 Mugilidae sp. isolate Mug_107 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789470.1	vague species identification (OQ789470.1 Gobiidae sp. isolate Gob_105 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789469.1	vague species identification (OQ789469.1 Gobiidae sp. isolate Gob_104 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789468.1	vague species identification (OQ789468.1 Macrouridae sp. isolate Mac_102 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789467.1	vague species identification (OQ789467.1 Mugilidae sp. isolate Mug_106 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789466.1	vague species identification (OQ789466.1 Mugilidae sp. isolate Mug_105 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789463.1	vague species identification (OQ789463.1 Mugilidae sp. isolate Mug_104 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789461.1	vague species identification (OQ789461.1 Mugilidae sp. isolate Mug_103 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789459.1	vague species identification (OQ789459.1 Macrouridae sp. isolate Mac_101 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
OQ789458.1	vague species identification (OQ789458.1 Mugilidae sp. isolate Mug_102 small subunit ribosomal RNA gene, partial sequence; mitochondrial)
